,出现次数,召回率,查准率,f1-score
禁销/色情低俗-运动文胸,1.0,1.0,0.0357,0.069
禁销/色情低俗-门挡,1.0,0.0,0.0,0.0
禁销/色情低俗-项坠/吊坠,1.0,0.0,0.0,0.0
禁销/色情低俗-马尾,1.0,1.0,1.0,1.0
禁销/药品-其他男用,1.0,0.0,0.0,0.0
禁销/药品-其它身体保养,1.0,0.0,0.0,0.0
禁销/药品-面部精华,1.0,0.0,0.0,0.0
禁销/赌博-桌游卡牌,1.0,0.0,0.0,0.0
禁销/香港管制-其它园艺用品,1.0,0.0,0.0,0.0
禁销/香港管制-服饰配件,1.0,0.0,0.0,0.0
禁销/香港管制-溜冰鞋/旱冰鞋,1.0,0.0,0.0,0.0
违禁/枪支弹药-其它手办,1.0,0.0,0.0,0.0
违禁/枪支弹药-其它日用家电,1.0,0.0,0.0,0.0
违禁/枪支弹药-手链,1.0,0.0,0.0,0.0
违禁/枪支弹药-短袖T恤,1.0,0.0,0.0,0.0
违禁/枪支弹药-项坠/吊坠,1.0,0.0,0.0,0.0
违禁/管制刀具-DIY模具,1.0,0.0,0.0,0.0
违禁/管制刀具-刀/叉/勺/筷套装,1.0,1.0,0.2,0.3333
违禁/管制刀具-海贼王手办专区,1.0,0.0,0.0,0.0
违禁/管制刀具-美工刀,1.0,1.0,1.0,1.0
违禁/管制刀具-车用钥匙扣,1.0,1.0,1.0,1.0
违禁/管制刀具-野餐包/户外餐具套装,1.0,1.0,0.1667,0.2857
侵权-夹克/外套,1.0,0.0,0.0,0.0
禁销/色情低俗-腿部防护用品,1.0,1.0,1.0,1.0
禁销/色情低俗-女士塑身腰封/腰夹,1.0,1.0,0.1667,0.2857
禁销/色情低俗-脱毛仪/电动脱毛器,1.0,1.0,0.25,0.4
侵权-门把手套,1.0,0.0,0.0,0.0
禁销/色情低俗-女士瑜伽裤,1.0,1.0,0.04,0.0769
禁销/色情低俗-女士睡衣/家居服连体裤,1.0,1.0,0.1111,0.2
禁销/色情低俗-安全裤,1.0,1.0,1.0,1.0
禁销/色情低俗-情趣文胸,1.0,1.0,1.0,1.0
禁销/色情低俗-打底裤,1.0,1.0,0.0278,0.0541
禁销/色情低俗-扭腰器,1.0,0.0,0.0,0.0
禁销/色情低俗-摆件,1.0,0.0,0.0,0.0
禁销/色情低俗-整顶假发,1.0,0.0,0.0,0.0
禁销/色情低俗-无模特套装,1.0,0.0,0.0,0.0
禁销/色情低俗-时尚/休闲套装,1.0,0.0,0.0,0.0
侵权-连衣裙,1.0,0.0,0.0,0.0
禁销/色情低俗-沐浴按摩用品,1.0,0.0,0.0,0.0
禁销/色情低俗-沐浴露,1.0,1.0,1.0,1.0
禁销/电子类违禁产品-消毒灯/杀菌灯,1.0,0.0,0.0,0.0
侵权-笔记本个性小贴纸,1.0,0.0,0.0,0.0
禁销/色情低俗-激情用具,1.0,0.0,0.0,0.0
禁销/色情低俗-牛仔长裤,1.0,0.0,0.0,0.0
禁销/色情低俗-玻璃杯,1.0,1.0,1.0,1.0
禁销/色情低俗-男士塑身美体裤,1.0,1.0,0.5,0.6667
禁销/色情低俗-男士身体乳,1.0,0.0,0.0,0.0
侵权-皮带/腰带,1.0,0.0,0.0,0.0
禁销/色情低俗-瘦身按摩贴,1.0,1.0,1.0,1.0
禁销/色情低俗-皮短裤,1.0,1.0,0.5,0.6667
禁销/色情低俗-皮裤,1.0,0.0,0.0,0.0
禁销/色情低俗-浴室用品配件,1.0,1.0,0.1667,0.2857
禁销/宗教-腮红/胭脂,1.0,0.0,0.0,0.0
禁销/电子类违禁产品-更多日用品,1.0,0.0,0.0,0.0
禁销/宗教-创意零钱包,1.0,0.0,0.0,0.0
禁销/宗教-咖啡杯,1.0,1.0,0.3333,0.5
禁销/宗教-吸管杯,1.0,0.0,0.0,0.0
禁销/宗教-吸管,1.0,0.0,0.0,0.0
禁销/宗教-口水巾,1.0,1.0,0.3333,0.5
禁销/宗教-发带,1.0,1.0,0.2,0.3333
禁销/宗教-厚底凉鞋,1.0,0.0,0.0,0.0
禁销/宗教-其它驾车个人用品,1.0,0.0,0.0,0.0
禁销/宗教-其他收纳篮,1.0,1.0,0.5,0.6667
禁销-其他DIY饰品配件,1.0,0.0,0.0,0.0
禁销/宗教-其它罩类/套类,1.0,1.0,0.25,0.4
禁销/宗教-其它电脑周边,1.0,1.0,1.0,1.0
禁销/宗教-其它烧烤用品,1.0,0.0,0.0,0.0
禁销/宗教-其它文具,1.0,1.0,1.0,1.0
禁销/宗教-其它室外灯具灯饰,1.0,1.0,1.0,1.0
禁销/宗教-围巾/丝巾/披肩,1.0,1.0,0.1111,0.2
禁销/宗教-圆领卫衣,1.0,0.0,0.0,0.0
禁销/宗教-垃圾桶,1.0,1.0,0.5,0.6667
禁销/宗教-外穿背心/吊带,1.0,0.0,0.0,0.0
禁销/宗教-头巾/头套,1.0,1.0,0.5,0.6667
禁销/宗教-头枕,1.0,1.0,0.3333,0.5
禁销/宗教-女士情趣睡衣,1.0,1.0,0.5,0.6667
禁销/宗教-女士跑步鞋,1.0,0.0,0.0,0.0
禁销/宗教-家居服套装,1.0,1.0,0.2,0.3333
禁销/宗教-家用牵引带,1.0,1.0,0.3333,0.5
