,出现次数,召回率,查准率,f1-score
calvin_klein-连体长裤,7.0,1.0,1.0,1.0
louis_vuitton-钥匙扣,7.0,1.0,1.0,1.0
dsquared2-牛仔长裤,7.0,0.1429,1.0,0.25
bmw-短袖T恤,7.0,0.0,0.0,0.0
mickey_mouse-连身衣/爬服/哈衣,7.0,0.8571,0.5,0.6316
hugo_boss-休闲鞋,7.0,1.0,1.0,1.0
celine-宽沿帽/太阳帽,7.0,0.8571,0.8571,0.8571
valentino-斜挎小包,7.0,1.0,0.5833,0.7368
thom_browne-Polo衫,7.0,0.7143,1.0,0.8333
new_york_yankees-时尚拖鞋,7.0,1.0,0.3043,0.4667
hugo_boss-无模特套装,7.0,1.0,1.0,1.0
fc_barcelona-男士足球服,7.0,0.0,0.0,0.0
nike-男士塑身上衣,7.0,1.0,0.875,0.9333
balenciaga-墨镜,7.0,1.0,0.5833,0.7368
drew-短袖T恤,7.0,0.0,0.0,0.0
hermes-女式钱包,7.0,0.7143,0.8333,0.7692
ray_ban-墨镜,7.0,0.0,0.0,0.0
hermes-高跟凉鞋,7.0,0.7143,1.0,0.8333
burberry-彩色太阳镜,7.0,0.8571,1.0,0.9231
hermes-床品套件/四件套/多件套,7.0,0.8571,1.0,0.9231
supreme-男士跑步鞋,7.0,1.0,0.1795,0.3043
hugo_boss-沙滩裤,7.0,1.0,1.0,1.0
adidas-女式板鞋,7.0,1.0,0.6364,0.7778
iwc-石英表,7.0,1.0,1.0,1.0
chanel-S型连衣裙,7.0,1.0,0.4375,0.6087
dc_shoes-短袖T恤,7.0,0.0,0.0,0.0
just_do_it-短袖T恤,7.0,0.5714,1.0,0.7273
puma-鸭舌帽,7.0,1.0,1.0,1.0
the_north_face-Polo衫,7.0,1.0,1.0,1.0
fendi-套装（不包含爬服类）,7.0,1.0,0.6364,0.7778
graff-耳钉,7.0,0.0,0.0,0.0
off_white-休闲鞋,7.0,0.7143,0.4167,0.5263
queen-欧美模特套装,7.0,0.0,0.0,0.0
fendi-分体泳衣,7.0,1.0,0.7778,0.875
tory_burch-时尚拖鞋,6.0,1.0,0.4286,0.6
chanel-单肩包,6.0,1.0,0.15,0.2609
tom_ford-墨镜,6.0,0.0,0.0,0.0
minions-潜水套装,6.0,0.0,0.0,0.0
minnie_mouse-连身衣/爬服/哈衣,6.0,0.0,0.0,0.0
nike-短袖衬衫,6.0,1.0,0.8571,0.9231
champion-鸭舌帽,6.0,1.0,0.6667,0.8
louis_vuitton-手链,6.0,0.6667,0.6667,0.6667
noah-连帽卫衣,6.0,0.0,0.0,0.0
moncler-Polo衫,6.0,1.0,1.0,1.0
mickey_mouse-时尚/休闲套装,6.0,0.6667,1.0,0.8
chanel-框架眼镜,6.0,1.0,0.8571,0.9231
marilyn_monroe-马克杯,6.0,0.0,0.0,0.0
chanel-胸针,6.0,1.0,0.4,0.5714
louis_vuitton-耳环,6.0,0.8333,0.625,0.7143
louis_vuitton-套装（不包含爬服类）,6.0,1.0,0.4286,0.6
panerai-电子表,6.0,1.0,1.0,1.0
nike-马克杯,6.0,0.8333,0.8333,0.8333
the_simpsons-马克杯,6.0,0.0,0.0,0.0
louis_vuitton-乐福鞋,6.0,1.0,1.0,1.0
chaumet-项链,6.0,1.0,1.0,1.0
jimmy_choo-时尚拖鞋,6.0,1.0,0.8571,0.9231
tag_heuer-石英表,6.0,1.0,0.6,0.75
hugo_boss-男士内裤,6.0,1.0,1.0,1.0
drew-圆领卫衣,6.0,0.0,0.0,0.0
hermes-耳环,6.0,0.8333,1.0,0.9091
dsquared2-欧美模特套装,6.0,1.0,1.0,1.0
stussy-男式板鞋,6.0,1.0,1.0,1.0
salomon-越野跑鞋,6.0,1.0,1.0,1.0
fendi-休闲皮鞋,6.0,1.0,0.375,0.5455
fendi-休闲短裤,6.0,1.0,0.75,0.8571
gucci-连体泳衣,6.0,1.0,0.75,0.8571
fendi-时尚/休闲套装,6.0,1.0,1.0,1.0
gucci-女士上衣,6.0,1.0,0.2727,0.4286
starbucks-苹果手机保护壳/套,6.0,1.0,0.2308,0.375
gucci-休闲长裤,6.0,1.0,1.0,1.0
new_york_yankees-时尚/休闲套装,6.0,1.0,0.6667,0.8
fortnite-短袖T恤,6.0,0.0,0.0,0.0
shaun_the_sheep-行李箱/储物箱,6.0,1.0,1.0,1.0
game_of_thrones-马克杯,6.0,0.8333,1.0,0.9091
givenchy-休闲鞋,6.0,1.0,0.75,0.8571
gucci-S型连衣裙,6.0,1.0,0.2609,0.4138
daiwa-短袖T恤,6.0,1.0,1.0,1.0
snoopy-单肩包,6.0,1.0,1.0,1.0
cristiano_ronaldo-马克杯,6.0,0.0,0.0,0.0
lamborghini-休闲鞋,6.0,0.0,0.0,0.0
pokemon-桌游卡牌,6.0,0.3333,1.0,0.5
pokemon-苹果手机保护壳/套,6.0,0.3333,0.6667,0.4444
christian_dior-手链,6.0,0.8333,0.8333,0.8333
nike-坎肩T恤,6.0,1.0,1.0,1.0
portugal-马克杯,6.0,0.0,0.0,0.0
nba-鸭舌帽,6.0,1.0,1.0,1.0
le_coq_sportif-Polo衫,6.0,0.0,0.0,0.0
christian_dior-皮带/腰带,6.0,1.0,1.0,1.0
nike-外穿背心/吊带,6.0,1.0,0.8571,0.9231
nike-女士瑜伽裤,6.0,1.0,0.4615,0.6316
karl_lagerfeld-情侣T恤,6.0,0.0,0.0,0.0
christian_dior-腰包/胸包,6.0,1.0,0.75,0.8571
christian_dior-苹果手机保护壳/套,6.0,0.8333,1.0,0.9091
thrasher-外穿背心/吊带,6.0,1.0,1.0,1.0
kenzo_takada-男士内裤,6.0,1.0,1.0,1.0
coach-手拿包,6.0,1.0,0.8571,0.9231
new_york_yankees-男式板鞋,6.0,1.0,0.25,0.4
thom_browne-男士跑步鞋,6.0,0.0,0.0,0.0
thom_browne-男士足球服,6.0,0.0,0.0,0.0
coca_cola-马克杯,6.0,0.8333,1.0,0.9091
nike-苹果手机保护壳/套,6.0,0.8333,0.4545,0.5882
fendi-单肩包,6.0,0.8333,0.3571,0.5
yves_saint_laurent-无模特套装,6.0,1.0,0.8571,0.9231
cartier-耳钉,6.0,0.0,0.0,0.0
vans-帆布鞋,6.0,1.0,0.75,0.8571
burberry-床品套件/四件套/多件套,6.0,1.0,0.375,0.5455
bvlgari-戒指/指环,6.0,0.0,0.0,0.0
celine-卡包,6.0,1.0,1.0,1.0
vans-男式板鞋,6.0,1.0,0.75,0.8571
valentino-高跟鞋,6.0,1.0,0.5455,0.7059
ac_milan-男士足球服,6.0,0.0,0.0,0.0
balenciaga-短袖T恤,6.0,1.0,0.5455,0.7059
versace-时尚拖鞋,6.0,1.0,0.1622,0.2791
versace-手链,6.0,1.0,0.1304,0.2308
adidas-外穿背心/吊带,6.0,1.0,1.0,1.0
versace-戒指/指环,6.0,1.0,0.0508,0.0968
versace-彩色太阳镜,6.0,1.0,0.8571,0.9231
armani-休闲鞋,6.0,0.8333,0.1667,0.2778
alexander_wang-外穿背心/吊带,6.0,0.8333,1.0,0.9091
adidas-衬衫,6.0,1.0,1.0,1.0
cartier-手镯,6.0,0.5,1.0,0.6667
burberry-短袖Polo衫,6.0,0.6667,0.6667,0.6667
breitling-机械表,6.0,1.0,0.5455,0.7059
armani-无模特套装,6.0,1.0,1.0,1.0
burberry-框架眼镜,6.0,0.8333,1.0,0.9091
asics-短袖T恤,6.0,0.3333,1.0,0.5
baltimore_ravens-鸭舌帽,6.0,1.0,1.0,1.0
versace-休闲皮鞋,6.0,0.8333,0.3846,0.5263
burberry-拎包/手提包,6.0,0.3333,0.3333,0.3333
under_armour-时尚/休闲套装,6.0,0.8333,1.0,0.9091
adidas-时尚拖鞋,6.0,0.8333,0.8333,0.8333
yves_saint_laurent-高跟鞋,6.0,1.0,1.0,1.0
calvin_klein-休闲短裤,6.0,1.0,1.0,1.0
bvlgari-斜挎小包,6.0,0.1667,0.5,0.25
doraemon-套装（不包含爬服类）,5.0,0.0,0.0,0.0
columbia-休闲鞋,5.0,1.0,1.0,1.0
captain_america-男士运动背心,5.0,1.0,1.0,1.0
coach-拎包/手提包,5.0,0.8,0.16,0.2667
burberry-短袖衬衫,5.0,1.0,0.7143,0.8333
calvin_klein-Polo衫,5.0,1.0,1.0,1.0
mcm-男士背包,5.0,1.0,1.0,1.0
bmw-时尚/休闲套装,5.0,0.0,0.0,0.0
moncler-短袖Polo衫,5.0,1.0,0.7143,0.8333
burberry-夹克/外套,5.0,0.8,1.0,0.8889
jacquemus-单肩包,5.0,1.0,0.5556,0.7143
louis_vuitton-男式睡衣/家居服套装,5.0,1.0,1.0,1.0
panerai-石英表,5.0,1.0,1.0,1.0
jeep-男士足球服,5.0,1.0,1.0,1.0
jimmy_choo-高跟鞋,5.0,0.8,1.0,0.8889
burberry-单肩包,5.0,0.6,0.4286,0.5
chicago_bears-鸭舌帽,5.0,1.0,0.8333,0.9091
versace-高跟凉鞋,5.0,1.0,0.2941,0.4545
gucci-框架眼镜,5.0,1.0,0.7143,0.8333
kaws-时尚拖鞋,5.0,0.2,0.5,0.2857
gucci-床品套件/四件套/多件套,5.0,0.6,0.1364,0.2222
kaws-男式板鞋,5.0,0.8,1.0,0.8889
fila-鸭舌帽,5.0,1.0,1.0,1.0
tom_and_jerry-短袖T恤,5.0,0.2,1.0,0.3333
adidas-靴子,5.0,0.2,0.3333,0.25
stone_island-Polo衫,5.0,0.6,1.0,0.75
new_balance-短袖T恤,5.0,1.0,0.7143,0.8333
disney_stellalou-运动鞋,5.0,0.0,0.0,0.0
fendi-腰包/胸包,5.0,1.0,1.0,1.0
christian_dior-高跟凉鞋,5.0,1.0,0.8333,0.9091
disney_stellalou-苹果手机保护壳/套,5.0,0.0,0.0,0.0
amiri-短袖T恤,5.0,1.0,0.625,0.7692
reebok-男式板鞋,5.0,1.0,0.2,0.3333
balmain-牛仔长裤,5.0,1.0,1.0,1.0
christian_dior-欧美模特套装,5.0,1.0,0.625,0.7692
gucci-男式睡衣/家居服套装,5.0,1.0,0.8333,0.9091
hermes-彩色太阳镜,5.0,1.0,1.0,1.0
hello_kitty-运动鞋,5.0,1.0,0.8333,0.9091
amiri-时尚/休闲套装,5.0,1.0,0.8333,0.9091
thrasher-短袖Polo衫,5.0,1.0,1.0,1.0
calvin_klein-男士塑身上衣,5.0,1.0,1.0,1.0
new_balance-男式板鞋,5.0,1.0,0.4545,0.625
christian_dior-短袖衬衫,5.0,1.0,0.8333,0.9091
christian_louboutin-休闲鞋,5.0,1.0,1.0,1.0
christian_dior-彩色太阳镜,5.0,1.0,0.8333,0.9091
real_madrid-马克杯,5.0,0.0,0.0,0.0
thom_browne-马克杯,5.0,0.0,0.0,0.0
gucci-男式钱包,5.0,1.0,0.625,0.7692
mizuno-短袖T恤,5.0,1.0,1.0,1.0
iron_man-T恤,5.0,0.8,1.0,0.8889
sesame_street-马克杯,5.0,0.0,0.0,0.0
thom_browne-短袖Polo衫,5.0,0.0,0.0,0.0
cincinnati_bengals-男运动t恤,5.0,0.0,0.0,0.0
alexander_wang-单肩包,5.0,0.8,0.8,0.8
versace-拎包/手提包,5.0,1.0,0.2381,0.3846
umbro-短袖T恤,5.0,1.0,1.0,1.0
gucci-衬衫,5.0,1.0,0.1667,0.2857
christian_dior-围巾,5.0,1.0,1.0,1.0
vans-女式板鞋,5.0,0.8,1.0,0.8889
fila-休闲鞋,5.0,1.0,0.3571,0.5263
versace-无模特套装,5.0,1.0,0.7143,0.8333
harley_davidson-短袖T恤,5.0,1.0,1.0,1.0
dolce_gabbana-斜挎小包,5.0,0.8,1.0,0.8889
chanel-连体泳衣,5.0,0.8,1.0,0.8889
mickey_mouse-套装（不包含爬服类）,5.0,0.8,0.6667,0.7273
disney_frozen-连衣裙,5.0,1.0,1.0,1.0
chanel-帆布鞋,5.0,1.0,0.625,0.7692
bvlgari-拎包/手提包,5.0,0.2,1.0,0.3333
gucci-卡包,5.0,1.0,0.3571,0.5263
tommy_hilfiger-打底裤,5.0,1.0,1.0,1.0
le_coq_sportif-时尚/休闲套装,5.0,0.0,0.0,0.0
gucci-分体泳衣,5.0,1.0,0.625,0.7692
prada-卡包,5.0,1.0,1.0,1.0
caterpillar-靴子,5.0,1.0,0.1613,0.2778
superman-男运动t恤,5.0,0.0,0.0,0.0
bts-短袖T恤,5.0,0.8,1.0,0.8889
toy_story-苹果手机保护壳/套,5.0,0.0,0.0,0.0
vans-男士跑步鞋,5.0,1.0,0.7143,0.8333
graff-项链,5.0,0.0,0.0,0.0
ecco-休闲鞋,5.0,1.0,0.7143,0.8333
superman-男士运动背心,5.0,0.0,0.0,0.0
lamborghini-男士跑步鞋,5.0,0.0,0.0,0.0
omega-电子表,5.0,1.0,1.0,1.0
poppy_playtime-套装（不包含爬服类）,5.0,0.0,0.0,0.0
loewe-女士睡衣/家居服套装,5.0,1.0,0.3571,0.5263
valentino-休闲鞋,5.0,1.0,0.4545,0.625
celine-墨镜,5.0,1.0,1.0,1.0
burberry-手提包,5.0,1.0,1.0,1.0
yves_saint_laurent-连体长裤,5.0,1.0,1.0,1.0
loewe-短袖T恤,5.0,1.0,0.7143,0.8333
yves_saint_laurent-高跟凉鞋,5.0,1.0,1.0,1.0
vogue-现代装饰画,5.0,0.0,0.0,0.0
givenchy-斜挎小包,5.0,1.0,0.8333,0.9091
los_angeles_dodgers-鸭舌帽,5.0,0.2,1.0,0.3333
paw_patrol-T恤,5.0,1.0,0.7143,0.8333
celine-时尚拖鞋,5.0,1.0,0.2941,0.4545
prada-时尚拖鞋,5.0,1.0,0.8333,0.9091
fendi-高跟鞋,5.0,1.0,0.4545,0.625
dr_martens-休闲鞋,5.0,1.0,1.0,1.0
louis_vuitton-手提包,5.0,1.0,0.8333,0.9091
gucci-圆领针织衫/毛衣,5.0,1.0,1.0,1.0
lacoste-休闲长裤,5.0,1.0,1.0,1.0
thom_browne-休闲皮鞋,5.0,0.0,0.0,0.0
louis_vuitton-斜挎包,5.0,1.0,0.7143,0.8333
versace-S型连衣裙,5.0,1.0,0.2,0.3333
louis_vuitton-手镯,5.0,0.4,0.6667,0.5
lacoste-男士内裤,5.0,1.0,1.0,1.0
lacoste-休闲短裤,5.0,1.0,1.0,1.0
gucci-厚底凉鞋,5.0,0.8,0.6667,0.7273
prada-男士背包,5.0,1.0,0.7143,0.8333
prada-男式钱包,5.0,1.0,1.0,1.0
air_jordan-时尚/休闲套装,5.0,0.0,0.0,0.0
mickey_mouse-休闲短裤,4.0,1.0,1.0,1.0
yves_saint_laurent-单肩包,4.0,1.0,1.0,1.0
marvel-宣传单/海报/说明书,4.0,1.0,1.0,1.0
the_north_face-苹果手机保护壳/套,4.0,1.0,0.8,0.8889
golden_goose-女式板鞋,4.0,1.0,0.8,0.8889
mcm-斜挎小包,4.0,1.0,0.6667,0.8
alexander_wang-时尚拖鞋,4.0,0.75,0.5,0.6
roger_vivier-时尚拖鞋,4.0,1.0,0.8,0.8889
gucci-外穿背心/吊带,4.0,1.0,0.4444,0.6154
alexander_mcqueen-女式板鞋,4.0,0.25,1.0,0.4
diadora-短袖T恤,4.0,0.0,0.0,0.0
spiderman-儿童袜子(0-16岁),4.0,0.75,1.0,0.8571
the_killers-马克杯,4.0,1.0,1.0,1.0
diesel-时尚/休闲套装,4.0,1.0,1.0,1.0
marvel-短袖T恤,4.0,1.0,1.0,1.0
christian_dior-长袖衬衫,4.0,1.0,0.5714,0.7273
naruto-其它手办,4.0,0.0,0.0,0.0
palm_angels-时尚/休闲套装,4.0,1.0,1.0,1.0
fendi-鸭舌帽,4.0,1.0,1.0,1.0
graff-戒指/指环,4.0,0.0,0.0,0.0
garfield-套装（不包含爬服类）,4.0,0.0,0.0,0.0
snoopy-连衣裙,4.0,1.0,1.0,1.0
sesame_street-套装（不包含爬服类）,4.0,0.0,0.0,0.0
spiderman-苹果手机保护壳/套,4.0,1.0,1.0,1.0
mickey_mouse-T恤,4.0,1.0,0.8,0.8889
sesame_street-时尚拖鞋,4.0,0.0,0.0,0.0
mickey_mouse-睡裙,4.0,1.0,0.5714,0.7273
winnie_the_pooh-三星手机保护壳/套,4.0,0.0,0.0,0.0
calvin_klein-女士瑜伽裤,4.0,1.0,1.0,1.0
adidas-女士上衣,4.0,1.0,1.0,1.0
paris_saint_germain-时尚/休闲套装,4.0,1.0,1.0,1.0
harley_quinn-宣传单/海报/说明书,4.0,0.0,0.0,0.0
g_shock-电子表,4.0,0.0,0.0,0.0
black_pink-创意摆件,4.0,0.0,0.0,0.0
gucci-现代装饰画,4.0,1.0,0.5714,0.7273
spongebob_squarepants-苹果手机保护壳/套,4.0,1.0,1.0,1.0
crayon_shin_chan-苹果手机保护壳/套,4.0,0.0,0.0,0.0
off_white-Polo衫,4.0,0.25,1.0,0.4
bestway-游泳池,4.0,1.0,1.0,1.0
gucci-凉拖鞋,4.0,1.0,0.5714,0.7273
venom-马克杯,4.0,0.0,0.0,0.0
spongebob_squarepants-耳机配件,4.0,1.0,1.0,1.0
adidas-沙滩裤,4.0,1.0,1.0,1.0
coach-单肩包,4.0,0.5,0.1818,0.2667
bottega_veneta-斜挎包,4.0,0.0,0.0,0.0
bottega_veneta-旅行袋,4.0,0.0,0.0,0.0
bottega_veneta-乐福鞋,4.0,0.25,1.0,0.4
batman-马克杯,4.0,0.25,1.0,0.4
gucci-旅行袋,4.0,1.0,0.5714,0.7273
disney_princess-T恤,4.0,0.0,0.0,0.0
gucci-打底袜,4.0,1.0,1.0,1.0
deadpool-宣传单/海报/说明书,4.0,1.0,1.0,1.0
batman-短袖T恤,4.0,1.0,1.0,1.0
bts-贺卡/明信片,4.0,0.75,1.0,0.8571
shaun_the_sheep-其它喂哺用品,4.0,0.0,0.0,0.0
batman-男运动t恤,4.0,1.0,1.0,1.0
skechers-男士跑步鞋,4.0,0.25,1.0,0.4
fila-坎肩T恤,4.0,1.0,1.0,1.0
mickey_mouse-情侣家居服套装,4.0,0.75,1.0,0.8571
batman-宣传单/海报/说明书,4.0,0.0,0.0,0.0
salvatore_ferragamo-休闲鞋,4.0,0.5,1.0,0.6667
batman-坎肩T恤,4.0,0.0,0.0,0.0
versace-休闲短裤,4.0,1.0,0.8,0.8889
dsquared2-夹克/外套,4.0,1.0,1.0,1.0
alexander_mcqueen-女士跑步鞋,4.0,1.0,1.0,1.0
asics-男式板鞋,4.0,1.0,0.6667,0.8
casio-机械表,4.0,1.0,1.0,1.0
miu_miu-墨镜,4.0,1.0,1.0,1.0
louis_vuitton-戒指/指环,4.0,0.25,0.2,0.2222
chanel-拎包/手提包,4.0,1.0,0.087,0.16
prada-腰包/胸包,4.0,1.0,1.0,1.0
essentials-连帽卫衣,4.0,1.0,0.8,0.8889
chanel-时尚/休闲套装,4.0,0.5,1.0,0.6667
stranger_things-马克杯,4.0,0.0,0.0,0.0
tommy_hilfiger-夹克/外套,4.0,1.0,1.0,1.0
prada-高跟凉鞋,4.0,1.0,1.0,1.0
chanel-现代装饰画,4.0,1.0,0.3333,0.5
prada-鸭舌帽,4.0,1.0,0.8,0.8889
tommy_hilfiger-休闲鞋,4.0,0.5,0.5,0.5
chelsea-男士足球服,4.0,1.0,1.0,1.0
tommy_hilfiger-休闲长裤,4.0,1.0,1.0,1.0
chanel-石英表,4.0,1.0,0.0976,0.1778
yves_saint_laurent-时尚/休闲套装,4.0,1.0,1.0,1.0
kenzo_takada-无模特套装,4.0,1.0,1.0,1.0
puma-坎肩T恤,4.0,1.0,1.0,1.0
ufc-短袖Polo衫,4.0,1.0,1.0,1.0
ufc-短袖T恤,4.0,1.0,1.0,1.0
puma-套装（不包含爬服类）,4.0,1.0,0.5,0.6667
stone_island-连帽卫衣,4.0,0.0,0.0,0.0
yoda-马克杯,4.0,0.75,1.0,0.8571
stone_island-男士塑身上衣,4.0,1.0,1.0,1.0
puma-沙滩裤,4.0,1.0,0.8,0.8889
chanel-女士上衣,4.0,1.0,0.4444,0.6154
le_coq_sportif-沙滩裤,4.0,0.0,0.0,0.0
chanel-外穿背心/吊带,4.0,1.0,0.5714,0.7273
armani-石英表,4.0,1.0,0.2857,0.4444
armani-手拿包,4.0,1.0,0.8,0.8889
burberry-时尚/休闲套装,4.0,1.0,1.0,1.0
adidas_yeezy-篮球鞋,4.0,1.0,1.0,1.0
nike-其它运动鞋,4.0,0.75,0.375,0.5
louis_vuitton-加绒棉拖鞋,4.0,1.0,1.0,1.0
dsquared2-男运动中长裤、短裤,4.0,0.75,1.0,0.8571
loewe-长袖衬衫,4.0,1.0,0.6667,0.8
champion-凉拖鞋,4.0,1.0,0.8,0.8889
yves_saint_laurent-连体短裤,4.0,1.0,1.0,1.0
tory_burch-单肩包,4.0,1.0,0.8,0.8889
champion-无模特套装,4.0,1.0,0.8,0.8889
champion-时尚/休闲套装,4.0,0.75,0.75,0.75
tommy_hilfiger-连体长裤,4.0,1.0,1.0,1.0
armani-沙滩裤,4.0,1.0,1.0,1.0
ducati-时尚/休闲套装,4.0,1.0,1.0,1.0
nike-套装（不包含爬服类）,4.0,1.0,0.08,0.1481
louis_vuitton-厚底凉鞋,4.0,1.0,0.5714,0.7273
louis_vuitton-围巾/丝巾/披肩,4.0,1.0,1.0,1.0
celine-乐福鞋/单鞋,4.0,1.0,0.6667,0.8
louis_vuitton-女士睡衣/家居服套装,4.0,1.0,0.8,0.8889
pokemon-人偶/摆件/硬体公仔,4.0,1.0,1.0,1.0
burberry-帆布鞋,4.0,0.75,0.6,0.6667
chanel-分体泳衣,4.0,1.0,0.6667,0.8
dragon_ball-其它手办,4.0,1.0,1.0,1.0
essentials-休闲短裤,4.0,1.0,1.0,1.0
minecraft-T恤,4.0,0.0,0.0,0.0
karl_lagerfeld-无模特套装,4.0,0.0,0.0,0.0
just_do_it-时尚/休闲套装,4.0,0.75,1.0,0.8571
christian_dior-套装（不包含爬服类）,4.0,1.0,0.5714,0.7273
louis_vuitton-长袖衬衫,4.0,1.0,0.25,0.4
supreme-男士内裤,4.0,1.0,0.8,0.8889
hulk-T恤,4.0,0.0,0.0,0.0
fendi-手提包,4.0,1.0,0.6667,0.8
supreme-男式板鞋,4.0,1.0,0.1905,0.32
hugo_boss-欧美模特套装,4.0,1.0,1.0,1.0
hugo_boss-套装（不包含爬服类）,4.0,1.0,1.0,1.0
manchester_city-男士足球服,4.0,1.0,1.0,1.0
christian_dior-外穿背心/吊带,4.0,1.0,1.0,1.0
nike-现代装饰画,4.0,0.75,0.4286,0.5455
mickey_mouse-马克杯,4.0,0.25,0.1111,0.1538
balenciaga-鸭舌帽,4.0,1.0,0.6667,0.8
stitch-其它手办,4.0,0.75,1.0,0.8571
christian_dior-手提包,4.0,1.0,0.8,0.8889
reebok-休闲鞋,4.0,1.0,0.1667,0.2857
new_balance-运动鞋,4.0,1.0,0.8,0.8889
calvin_klein-衬衫,4.0,1.0,0.6667,0.8
we_bare_bears-马克杯,4.0,0.0,0.0,0.0
christian_dior-男式板鞋,4.0,1.0,0.6667,0.8
rick_and_morty-马克杯,4.0,0.0,0.0,0.0
louis_vuitton-被子/蚕丝被/羽绒被/棉被,4.0,1.0,1.0,1.0
tiktok-套装（不包含爬服类）,4.0,0.5,1.0,0.6667
patrick_star-马克杯,4.0,0.0,0.0,0.0
miu_miu-高跟鞋,4.0,1.0,1.0,1.0
versace-连体泳衣,4.0,1.0,0.8,0.8889
jimmy_choo-低跟凉鞋,4.0,1.0,1.0,1.0
stone_island-夹克/外套,4.0,0.0,0.0,0.0
jeep-拎包/手提包,4.0,1.0,0.6667,0.8
fendi-女士上衣,4.0,1.0,0.6667,0.8
just_do_it-户外面罩,4.0,0.25,1.0,0.4
chloe-时尚拖鞋,4.0,1.0,0.3636,0.5333
dolce_gabbana-高跟鞋,4.0,0.5,1.0,0.6667
fendi-宽沿帽/太阳帽,4.0,1.0,0.8,0.8889
dolce_gabbana-皮带/腰带,4.0,0.5,1.0,0.6667
tissot-机械表,4.0,1.0,0.5,0.6667
fendi-围巾/丝巾/披肩,4.0,1.0,0.4,0.5714
fc_barcelona_fcb-男士足球服,3.0,0.6667,1.0,0.8
star_wars-短袖T恤,3.0,1.0,1.0,1.0
gap-无模特套装,3.0,1.0,1.0,1.0
spiderman-人偶/摆件/硬体公仔,3.0,1.0,0.75,0.8571
fendi-苹果手机保护壳/套,3.0,1.0,0.6,0.75
starbucks-三星手机保护壳/套,3.0,1.0,1.0,1.0
spongebob_squarepants-时尚拖鞋,3.0,0.6667,1.0,0.8
vans-休闲鞋,3.0,1.0,0.75,0.8571
patek_philippe-机械表,3.0,0.6667,1.0,0.8
stitch-三星手机保护壳/套,3.0,0.3333,1.0,0.5
dsquared2-男士跑步鞋,3.0,1.0,1.0,1.0
starbucks-耳机配件,3.0,1.0,1.0,1.0
burberry-围巾,3.0,1.0,1.0,1.0
valentino-短袖Polo衫,3.0,1.0,1.0,1.0
garfield-短袖T恤,3.0,0.0,0.0,0.0
spiderman-其它手办,3.0,1.0,1.0,1.0
franco_moschino-套装（不包含爬服类）,3.0,1.0,0.4286,0.6
fendi-耳环,3.0,1.0,0.5,0.6667
burberry-Polo衫,3.0,1.0,1.0,1.0
burberry-三星手机保护壳/套,3.0,1.0,0.6,0.75
fendi-彩色太阳镜,3.0,1.0,0.5,0.6667
burberry-凉鞋,3.0,0.3333,0.3333,0.3333
fendi-打底袜,3.0,1.0,1.0,1.0
burberry-女士背包,3.0,0.3333,1.0,0.5
burberry-S型连衣裙,3.0,1.0,0.4286,0.6
franco_moschino-时尚拖鞋,3.0,0.6667,1.0,0.8
stone_island-无模特套装,3.0,0.0,0.0,0.0
bts-苹果手机保护壳/套,3.0,1.0,1.0,1.0
ferrari-短袖T恤,3.0,1.0,1.0,1.0
fendi-墨镜,3.0,1.0,0.5,0.6667
stone_island-长袖衬衫,3.0,0.0,0.0,0.0
fendi-男士背包,3.0,1.0,0.6,0.75
spiderman-套装（不包含爬服类）,3.0,0.3333,1.0,0.5
minnie_mouse-睡裙,3.0,0.0,0.0,0.0
fila-休闲长裤,3.0,1.0,1.0,1.0
germany_national_football_team-马克杯,3.0,0.0,0.0,0.0
fila-无模特套装,3.0,1.0,1.0,1.0
bugs_bunny-短袖T恤,3.0,0.0,0.0,0.0
celine-戒指/指环,3.0,1.0,0.5,0.6667
giuseppe_zanotti-休闲皮鞋,3.0,1.0,0.5,0.6667
karl_lagerfeld-外穿背心/吊带,3.0,0.0,0.0,0.0
juventus-短袖T恤,3.0,1.0,0.75,0.8571
puma-男士塑身上衣,3.0,1.0,1.0,1.0
juventus-时尚/休闲套装,3.0,1.0,1.0,1.0
aubameyang-男士足球服,3.0,0.0,0.0,0.0
audi-夹克/外套,3.0,1.0,1.0,1.0
jujutsu_kaisen-短袖T恤,3.0,0.0,0.0,0.0
louis_vuitton-男士内裤,3.0,1.0,1.0,1.0
versace-连体长裤,3.0,1.0,0.6,0.75
jil_sander-宽沿帽/太阳帽,3.0,0.0,0.0,0.0
amongus-连衣裙,3.0,0.0,0.0,0.0
iwc-机械表,3.0,1.0,0.6,0.75
louis_vuitton-耳钉,3.0,1.0,1.0,1.0
avengers-短袖T恤,3.0,0.0,0.0,0.0
queen-短袖T恤,3.0,0.0,0.0,0.0
iron_man-短袖T恤,3.0,0.6667,1.0,0.8
louis_vuitton-脚链,3.0,1.0,1.0,1.0
iron_man-宣传单/海报/说明书,3.0,0.6667,1.0,0.8
pj_masks-马克杯,3.0,0.0,0.0,0.0
quiksilver-苹果手机保护壳/套,3.0,0.0,0.0,0.0
pixar-现代装饰画,3.0,1.0,1.0,1.0
ralph_lauren-外穿背心/吊带,3.0,1.0,1.0,1.0
ralph_lauren-套装（不包含爬服类）,3.0,1.0,1.0,1.0
versace-衬衫,3.0,1.0,0.3333,0.5
hugo_boss-男士塑身上衣,3.0,1.0,1.0,1.0
