,出现次数,召回率,查准率,f1-score
louis_vuitton-休闲鞋,42.0,0.9524,0.7407,0.8333
celine-斜挎小包,41.0,1.0,0.9318,0.9647
bottega_veneta-时尚拖鞋,41.0,0.2927,0.8571,0.4364
hermes-斜挎小包,40.0,0.825,0.9167,0.8684
disney_frozen-凉鞋,39.0,0.5641,1.0,0.7213
adidas_yeezy-女士跑步鞋,39.0,0.4872,0.8261,0.6129
hugo_boss-休闲短裤,38.0,1.0,1.0,1.0
gucci-短袖T恤,37.0,0.9459,0.5,0.6542
balenciaga-男士跑步鞋,37.0,1.0,0.8043,0.8916
gucci-墨镜,37.0,0.9459,0.8537,0.8974
tommy_hilfiger-时尚/休闲套装,37.0,1.0,1.0,1.0
burberry-短袖T恤,36.0,0.9722,0.814,0.8861
hermes-时尚拖鞋,36.0,0.6111,0.7857,0.6875
converse-帆布鞋,36.0,1.0,0.9,0.9474
nike-足球鞋,35.0,0.6,0.875,0.7119
gucci-无模特套装,33.0,0.9394,0.9688,0.9538
calvin_klein-时尚/休闲套装,31.0,1.0,0.9688,0.9841
versace-短袖T恤,31.0,0.9355,0.3919,0.5524
gucci-单肩包,31.0,0.9677,0.4688,0.6316
calvin_klein-无模特套装,31.0,1.0,1.0,1.0
franco_moschino-短袖T恤,31.0,1.0,1.0,1.0
louis_vuitton-时尚拖鞋,30.0,1.0,0.6977,0.8219
hugo_boss-时尚/休闲套装,30.0,1.0,1.0,1.0
tommy_hilfiger-短袖T恤,30.0,0.9667,1.0,0.9831
one_piece-其它手办,30.0,0.0,0.0,0.0
fc_bayern_munchen-男士足球服,29.0,0.5517,1.0,0.7111
hugo_boss-短袖T恤,29.0,1.0,1.0,1.0
ralph_lauren-短袖Polo衫,29.0,1.0,0.8286,0.9062
versace-休闲鞋,29.0,0.9655,0.56,0.7089
christian_dior-时尚拖鞋,29.0,0.9655,0.8235,0.8889
yves_saint_laurent-斜挎小包,29.0,1.0,0.9355,0.9667
nike-Polo衫,29.0,1.0,1.0,1.0
jacquemus-斜挎小包,28.0,1.0,0.9655,0.9825
dsquared2-时尚/休闲套装,28.0,0.6071,1.0,0.7556
burberry-斜挎小包,28.0,0.6429,0.7826,0.7059
dsquared2-短袖T恤,28.0,0.6071,1.0,0.7556
chanel-项链,28.0,0.9286,0.619,0.7429
adidas-男士足球服,28.0,0.7143,1.0,0.8333
chanel-墨镜,28.0,1.0,0.9032,0.9492
omega-机械表,28.0,1.0,1.0,1.0
adidas_yeezy-运动鞋,28.0,0.7857,0.88,0.8302
fendi-休闲鞋,28.0,0.9643,0.3506,0.5143
disney_frozen-运动鞋,27.0,0.7778,1.0,0.875
salomon-男士跑步鞋,27.0,1.0,0.7105,0.8308
gucci-套装（不包含爬服类）,27.0,1.0,0.4219,0.5934
palm_angels-短袖T恤,27.0,0.963,0.963,0.963
hermes-短袖T恤,27.0,0.5185,0.9333,0.6667
van_cleef_arpels-项链,26.0,0.5385,1.0,0.7
fortnite-套装（不包含爬服类）,26.0,0.0,0.0,0.0
bts-马克杯,26.0,0.7692,1.0,0.8696
chanel-休闲鞋,26.0,1.0,0.7429,0.8525
armani-短袖T恤,26.0,1.0,0.7879,0.8814
paris_saint_germain-男士足球服,25.0,0.84,1.0,0.913
dsquared2-苹果手机保护壳/套,25.0,1.0,1.0,1.0
balenciaga-斜挎小包,25.0,1.0,0.7143,0.8333
adidas-女士跑步鞋,24.0,0.8333,0.7407,0.7843
mickey_mouse-苹果手机保护壳/套,24.0,1.0,0.96,0.9796
longines-电子表,24.0,1.0,1.0,1.0
stone_island-休闲短裤,24.0,0.2083,1.0,0.3448
fendi-斜挎小包,24.0,0.75,0.5455,0.6316
essentials-短袖T恤,24.0,0.8333,0.9524,0.8889
